State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,8,2100,2100,2100,14-Mar-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,9.5,2600,2600,2600,02-Feb-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,11,2200,2250,2250,18-Mar-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,14,2500,2500,2500,11-Jul-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,15.3,2250,2300,2300,19-May-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,15.5,2300,2325,2325,18-May-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,16.5,2275,2300,2300,21-May-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,24.5,2270,2278,2278,11-May-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,25.2,2298,2301,2298,20-Apr-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,30.9,2250,2300,2300,27-Dec-23
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,31.5,2290,2310,2300,01-Jun-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,41.2,2210,2250,2250,07-Jun-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,43.6,2428,2520,2500,16-Aug-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,49.7,2275,2300,2300,20-May-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,51.8,2550,2600,2600,23-Aug-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,53.2,2325,2350,2346,25-Apr-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,53.7,2500,2600,2600,22-Aug-24
Madhya Pradesh,Chhindwara,Amarwda,Local,Cereals,54.6,2180,2260,2260,15-Apr-24
