State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,0.2,2250,2250,2250,11-Aug-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,0.56,2475,2475,2475,22-Nov-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,1,1700,1700,1700,06-May-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,1,1750,1750,1750,02-Jul-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,1,1900,1900,1900,27-Jan-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,1,1926,1926,1926,20-Jun-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,1,1926,1926,1926,26-May-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,1.5,1710,1710,1710,10-Jul-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,1.5,2100,2100,2100,23-Aug-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,1.5,2127,2127,2127,20-May-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,1810,1810,1810,22-Feb-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,1950,1950,1950,03-Mar-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,1950,1950,1950,08-Mar-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2100,2100,2100,05-Jun-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2128,2128,2128,02-May-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2140,2140,2140,07-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2200,2200,2200,20-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2280,2280,2280,29-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2300,2300,2300,08-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2450,2450,2450,06-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2510,2510,2510,09-Jan-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2,2550,2550,2550,02-Jan-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.2,2400,2400,2400,07-Dec-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.35,2550,2575,2560,05-Dec-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.5,1800,1800,1800,01-Feb-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.5,1805,1805,1805,03-Jan-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.5,2000,2000,2000,10-Mar-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.5,2300,2300,2300,03-Aug-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.5,2351,2351,2351,08-Dec-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.5,2400,2400,2400,07-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,2.5,2620,2620,2620,02-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,1780,1780,1780,19-Jan-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,1800,1800,1800,27-Dec-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,2000,2000,2000,11-Oct-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,2025,2025,2025,27-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,2050,2050,2050,18-Mar-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,2150,2150,2150,14-Jul-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,2160,2160,2160,15-Jul-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,2240,2240,2240,07-Aug-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,2430,2430,2430,27-Dec-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3,2700,2700,2700,19-Jan-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3.5,1574,1574,1574,29-Oct-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3.5,1750,1754,1750,24-Jun-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,3.5,2150,2150,2150,12-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4,1750,1750,1750,16-Dec-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4,1900,2150,2150,13-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4,2005,2005,2005,11-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4,2126,2127,2127,19-May-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4,2150,2150,2150,29-May-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4,2200,2200,2200,06-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4,2250,2250,2250,08-Aug-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4,2250,2250,2250,12-Oct-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4.35,1630,1645,1640,02-Feb-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4.5,1700,1730,1700,25-Jun-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4.5,1750,1760,1750,23-Sep-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4.5,1790,1805,1800,07-Jan-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4.5,2010,2010,2010,12-Jul-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,4.5,2100,2310,2100,22-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1400,1400,1400,10-Aug-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1500,1500,1500,16-Jun-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1600,1600,1600,06-Mar-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1780,1780,1780,15-Jan-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1800,1800,1800,07-Mar-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1815,1815,1815,11-Mar-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1815,1815,1815,24-Nov-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1820,1820,1820,22-Sep-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1900,1900,1900,05-Mar-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,1950,1950,1950,16-Mar-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2100,2100,2100,03-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2100,2100,2100,21-Jun-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2130,2130,2130,16-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2150,2150,2150,02-Mar-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2150,2150,2150,09-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2150,2150,2150,19-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2150,2150,2150,28-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2150,2150,2150,30-Jun-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2160,2160,2160,20-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2200,2200,2200,13-Oct-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2200,2200,2200,21-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2225,2225,2225,14-Oct-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2225,2225,2225,24-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2240,2240,2240,16-Aug-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2410,2410,2410,17-Dec-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2500,2500,2500,06-Jan-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5,2550,2550,2550,24-Jan-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.3,2485,2485,2485,20-Nov-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,1402,1405,1402,15-Sep-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,1510,1580,1550,05-Feb-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,1610,1610,1610,24-Mar-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,1800,2140,1800,17-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,1802,2127,1802,24-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,2000,2005,2000,07-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,2005,2100,2025,06-Jul-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,2210,2215,2210,21-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,2251,2352,2335,27-Oct-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,5.5,2350,2420,2400,28-Nov-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6,1600,1600,1600,13-Aug-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6,1600,1611,1600,26-Aug-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6,1780,1780,1780,03-Dec-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6,2000,2000,2000,20-Jan-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6,2000,2050,2000,27-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6,2200,2200,2200,08-Sep-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6,2260,2260,2260,24-Aug-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6.5,1750,1825,1810,21-Dec-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6.5,1805,2125,1805,18-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,6.5,2125,2130,2125,19-Mar-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,1500,1501,1500,15-Jul-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,1550,1550,1550,08-Mar-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,1650,1725,1650,07-Sep-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,1732,1732,1732,07-Dec-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,2000,2025,2000,28-Feb-20
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,2000,2225,2000,15-Oct-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,2300,2400,2300,30-Jan-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,2400,2400,2400,08-Nov-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,2400,2500,2400,04-Feb-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7,2550,2600,2550,31-Dec-22
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7.5,1580,1600,1580,27-Jul-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,7.5,2126,2126,2126,03-May-23
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,8,1500,1500,1500,02-Mar-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,8,1700,1710,1700,03-Sep-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,8,1840,1850,1840,14-Dec-21
Madhya Pradesh,Hoshangabad,Babai,147 Average,Cereals,8,1900,1900,1900,01-Mar-23
