State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,29.84,2320,2320,2320,27-Mar-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,46.67,2390,2629,2400,30-Dec-23
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,59.16,2902,3131,3131,13-Feb-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,59.35,2895,3021,3021,18-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,71.51,2315,2698,2350,02-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,72.07,2925,3143,3005,16-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,72.19,2822,3023,2870,07-Nov-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,77.14,3016,3157,3157,13-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,83.1,2526,2788,2450,09-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,86.88,2798,3015,2918,20-Dec-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,87.26,2925,3200,3105,09-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,87.79,2771,3016,2925,19-Dec-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,93.41,2550,2844,2600,24-Sep-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,107.75,2679,2838,2748,01-Oct-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,114.32,2480,2810,2530,12-Jul-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,128.97,2370,2785,2380,08-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,151.71,2525,2896,2500,11-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,213.42,2255,3060,2280,08-May-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,223.36,2600,2879,2650,04-Sep-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,386.97,2655,2665,2665,06-Mar-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,476.96,2382,2873,2400,30-May-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,526.91,2250,2616,2470,29-Apr-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,"1,161.35",2225,2225,2225,17-Mar-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,"1,199.28",2200,2525,2525,10-Mar-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,"1,248.40",2032,2670,2270,19-Mar-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,23.6,1800,2050,1950,14-Jan-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,36.9,1550,1950,1750,18-Aug-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,45,1825,2105,1956,16-Jan-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,55.3,1910,2086,1960,11-Sep-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,56.4,1720,2170,1970,15-Feb-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,76.2,2850,2850,2850,04-Jan-25
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,82.3,1850,2102,1905,02-Dec-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,83.4,1920,2218,2030,28-Jan-20
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,103.77,2942,3081,3081,08-Jan-25
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,105.82,2683,2683,2683,06-Dec-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,106.6,1850,2113,1900,28-Sep-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,107.75,2673,3189,3189,01-Oct-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,109.3,2025,2325,2165,24-Dec-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,110.67,2631,2820,2820,26-Sep-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,115.7,1850,2100,1925,06-Dec-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,120.3,1974,2261,2150,28-Nov-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,125.4,1841,2015,1886,05-Jul-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,132.5,1650,2150,1950,26-Oct-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,133.25,2491,2500,2450,09-Jul-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,140.6,1430,1700,1490,22-Oct-20
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,162.21,2660,2970,2661,29-Aug-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,162.3,1430,1900,1700,10-Dec-20
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,163.82,2265,2570,2270,28-Dec-23
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,170.08,2578,2595,2595,09-Aug-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,170.13,2609,2788,2616,16-Aug-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,194.6,2028,2132,2110,06-Aug-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,198.7,1600,1825,1674,11-Jan-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,198.9,1850,2115,1955,22-Nov-21
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,72.96,2885,3055,3055,24-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,74.62,2826,3071,3050,17-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,90.18,2950,3185,3185,15-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,94,2700,3018,2805,24-Oct-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,102.08,2265,2621,2240,22-Dec-23
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,103.63,2480,2827,2450,23-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,106.28,2470,2786,2500,11-Jul-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,115.18,2811,3060,2905,11-Nov-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,132.37,2573,2758,2597,05-Aug-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,135.34,2723,3300,2900,25-Oct-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,158.15,2450,2827,2460,01-Jul-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,163.82,2300,2674,2270,28-Dec-23
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,191.51,2425,2712,2450,03-Jul-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,202.34,2578,2860,2515,10-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,209.44,2400,2667,2400,26-Jun-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,236.36,2585,2905,2560,12-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,249.9,2485,2678,2460,28-Jun-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,521.68,2314,2754,2450,24-May-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,"1,004.74",2270,2555,2555,27-Mar-25
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,47.27,2775,2850,2850,06-Feb-25
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,47.9,1830,2131,1940,05-Feb-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,51.2,1900,2276,1986,18-Jan-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,59.35,2895,2901,2901,18-Jan-25
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,60.1,1850,2114,2009,21-Jan-19
