State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,29.84,2320,2320.0,2320.0,27-Mar-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,46.67,2390,2629.0,2400.0,30-Dec-23
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,59.16,2902,3131.0,3131.0,13-Feb-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,59.35,2895,3021.0,3021.0,18-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,71.51,2315,2698.0,2350.0,02-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,72.07,2925,3143.0,3005.0,16-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,72.19,2822,3023.0,2870.0,07-Nov-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,77.14,3016,3157.0,3157.0,13-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,83.1,2526,2788.0,2450.0,09-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,86.88,2798,3015.0,2918.0,20-Dec-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,87.26,2925,3200.0,3105.0,09-Jan-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,87.79,2771,3016.0,2925.0,19-Dec-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,93.41,2550,2844.0,2600.0,24-Sep-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,107.75,2679,2838.0,2748.0,01-Oct-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,114.32,2480,2810.0,2530.0,12-Jul-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,128.97,2370,2785.0,2380.0,08-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,151.71,2525,2896.0,2500.0,11-Jan-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,213.42,2255,3060.0,2280.0,08-May-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,223.36,2600,2879.0,2650.0,04-Sep-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,386.97,2655,2665.0,2665.0,06-Mar-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,476.96,2382,2873.0,2400.0,30-May-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,526.91,2250,2616.0,2470.0,29-Apr-24
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,"1,161.35",2225,2225.0,2225.0,17-Mar-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,"1,199.28",2200,2525.0,2525.0,10-Mar-25
Madhya Pradesh,Bhopal,Berasia,Local,Cereals,"1,248.40",2032,2670.0,2270.0,19-Mar-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,23.6,1800,2050.0,1950.0,14-Jan-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,36.9,1550,1950.0,1750.0,18-Aug-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,45,1825,2105.0,1956.0,16-Jan-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,55.3,1910,2086.0,1960.0,11-Sep-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,56.4,1720,2170.0,1970.0,15-Feb-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,76.2,2850,2850.0,2850.0,04-Jan-25
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,82.3,1850,2102.0,1905.0,02-Dec-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,83.4,1920,2218.0,2030.0,28-Jan-20
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,103.77,2942,3081.0,3081.0,08-Jan-25
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,105.82,2683,2683.0,2683.0,06-Dec-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,106.6,1850,2113.0,1900.0,28-Sep-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,107.75,2673,3189.0,3189.0,01-Oct-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,109.3,2025,2325.0,2165.0,24-Dec-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,110.67,2631,2820.0,2820.0,26-Sep-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,115.7,1850,2100.0,1925.0,06-Dec-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,120.3,1974,2261.0,2150.0,28-Nov-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,125.4,1841,2015.0,1886.0,05-Jul-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,132.5,1650,2150.0,1950.0,26-Oct-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,133.25,2491,2500.0,2450.0,09-Jul-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,140.6,1430,1700.0,1490.0,22-Oct-20
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,162.21,2660,2970.0,2661.0,29-Aug-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,162.3,1430,1900.0,1700.0,10-Dec-20
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,163.82,2265,2570.0,2270.0,28-Dec-23
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,170.08,2578,2595.0,2595.0,09-Aug-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,170.13,2609,2788.0,2616.0,16-Aug-24
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,194.6,2028,2132.0,2110.0,06-Aug-19
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,198.7,1600,1825.0,1674.0,11-Jan-21
Madhya Pradesh,Bhopal,Berasia,Lokwan,Cereals,198.9,1850,2115.0,1955.0,22-Nov-21
