State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,1,1476,1476,1476,04-Dec-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,1.1,2050,2050,2050,27-Aug-22
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,1.1,2050,2050,2050,29-Aug-22
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,1.2,2010,2010,2010,02-Aug-22
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,1.4,1410,1420,1410,09-Dec-14
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,2,1431,1431,1431,05-Nov-15
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,2,1750,1760,1750,29-Jan-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,2.5,1800,1800,1800,21-Nov-16
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,2.5,2126,2126,2126,08-May-23
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,3,1360,1360,1360,22-Sep-15
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,3,1843,1843,1843,29-Mar-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,3,2018,2018,2018,01-Jun-22
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,3,2140,2140,2140,24-Jul-23
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,3.2,1750,1810,1780,19-Nov-18
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,3.5,1525,1525,1525,28-Oct-15
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,3.5,1705,1705,1705,02-Apr-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,4,2140,2140,2140,22-Jun-23
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,4,2315,2315,2315,04-Feb-23
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,4.2,1626,1627,1627,10-Jul-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,4.5,1600,1600,1600,18-Mar-16
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,4.5,1845,1845,1845,28-Mar-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1325,1325,1325,05-Oct-15
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1401,1401,1401,07-Aug-15
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1420,1420,1420,24-Oct-15
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1600,1600,1600,12-Jul-16
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1626,1632,1630,29-Jul-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1630,1630,1630,02-Jun-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1631,1631,1631,23-Mar-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1700,1700,1700,21-Oct-21
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5,1950,1955,1950,10-Oct-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5.2,1650,1660,1655,12-Mar-18
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5.5,1700,1700,1700,08-Feb-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,5.5,2350,2350,2350,06-Dec-22
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,170.5,172,171.5,14-Aug-18
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,1450,1500,1475,14-Dec-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,1500,1600,1560,16-Aug-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,1705,1705,1705,07-Feb-17
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,1830,1830,1830,28-Jun-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,1830,1840,1835,12-Jul-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,1845,1845,1845,03-Jun-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,1851,1851,1851,27-Jan-22
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,1900,1925,1910,01-Oct-19
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,2100,2100,2100,03-Aug-22
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,2130,2130,2130,29-May-23
Madhya Pradesh,Hoshangabad,Hoshangabad,Local,Cereals,6,2311,2311,2311,01-Dec-22
