State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,0.8,1603,1603,1603,07-Jan-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,0.8,2101,2101,2101,25-Jan-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,1.1,1950,1950,1950,08-Jan-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,4,1520,1670,1525,23-Nov-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,7,1875,1900,1875,10-Jul-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,8,1650,1650,1650,25-Jan-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,12,2000,2000,2000,05-Sep-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,14,1890,1925,1920,24-Feb-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,15,1710,1710,1710,21-Jul-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,15,2000,2175,2050,07-Feb-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,16,2200,2370,2370,30-Aug-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,16.8,1900,2200,2200,30-Oct-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,20,2035,2035,2035,15-Oct-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,25.7,1900,2105,2105,06-Jan-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,26.4,2000,2000,2000,11-Aug-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,28.8,2000,2300,2300,15-Dec-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,36.8,2005,2450,2450,05-Jun-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,39,1635,1900,1870,02-Jul-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,41.1,2125,2373,2150,21-Dec-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,43.5,1875,2400,1900,12-Nov-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,45.5,2000,2500,2500,20-Dec-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,48.3,1650,2000,1850,13-Jul-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,55.6,2100,2340,2100,02-Nov-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,66.4,2150,2565,2175,13-Jun-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,69,1880,2176,2000,20-Aug-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,70,1900,1950,1900,27-Jul-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,72.8,1700,2000,1720,17-Feb-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,73.2,2300,2550,2550,25-Aug-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,79,1700,2000,1900,31-Jan-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,79.5,1600,1690,1600,05-Feb-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,91.3,2000,2100,2050,24-Sep-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,97.1,1900,2300,2200,13-May-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,98.3,1910,2300,2110,19-May-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,105.6,2000,2730,2300,18-Nov-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,117.2,1650,1940,1800,06-Mar-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,153,1700,2025,1900,28-Feb-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,163.7,1557,2250,2050,20-May-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,168.8,2000,2130,2100,15-May-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,195,1875,2350,2000,26-May-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,209.9,2000,2460,2460,24-Aug-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,213.6,1885,2100,2000,16-Feb-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,214.6,1900,2200,2100,31-Aug-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,244.9,1900,2400,2000,28-Jul-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,251.9,1900,2010,2000,30-Aug-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,269.4,1900,2050,2000,26-Jul-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,270.4,2000,2400,2200,18-May-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,306.2,1700,1950,1900,05-Apr-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,348.7,1820,2200,2000,22-Feb-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,381.1,1650,2050,1800,18-Mar-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,516,1701,1940,1930,08-Jun-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,0.9,2275,2300,2300,04-Feb-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,5.1,1850,1850,1850,17-Nov-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,5.2,2500,2500,2500,27-Nov-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,8,2000,2000,2000,06-Aug-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,8.4,1980,2010,2000,06-Dec-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,8.5,2000,2010,2000,17-Jan-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,8.5,2000,2311,2025,18-Feb-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,8.5,2075,2163,2163,08-Nov-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,8.9,2000,2110,2110,08-Nov-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,9.1,1988,2425,2135,23-Dec-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,10,2050,2055,2050,13-Sep-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,10.5,2045,2332,2185,07-Feb-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,11,2100,2200,2100,23-Nov-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,12.7,2100,2415,2200,17-Jan-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,13.8,2300,2500,2500,09-Oct-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,14.7,2100,2100,2100,26-Jun-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,15.5,2165,2300,2200,16-Dec-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,16,1800,1900,1800,23-Jan-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,16,2045,2200,2180,27-Nov-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,17,1650,2000,1750,17-Jun-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,18.4,1790,1950,1950,13-Jun-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,20,1840,1880,1840,21-Jun-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,21,2000,2010,2010,18-Sep-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,24.4,1910,2310,2310,10-Jul-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,26,1890,2150,1950,26-Nov-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,27.6,2150,2200,2200,13-Jul-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,29.2,1750,2000,1850,23-Jul-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,31.8,1899,2025,2000,02-Feb-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,35,2100,2400,2400,27-Sep-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,35.1,1900,1900,1900,05-Feb-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,35.9,1740,2000,1910,04-Feb-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,36,1825,2420,2420,29-Oct-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,38.5,2000,2160,2136,26-Aug-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,39.4,2200,2600,2600,02-Aug-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,42.4,1950,2150,2100,17-Jun-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,43.2,1606,1976,1900,15-Jun-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,44,1950,2100,1950,24-Sep-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,44.2,2180,2620,2200,26-Jul-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,46,1850,1900,1850,09-Sep-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,49.2,1723,1870,1851,03-Mar-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,55.7,1850,1930,1930,09-Feb-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,57.1,1720,1950,1800,04-Mar-20
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,58.8,1600,2000,1981,10-Jun-21
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,61.7,2505,2700,2650,20-Nov-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,63.9,2130,2500,2500,19-Dec-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,64.3,2000,2300,2200,09-Dec-19
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,65,1950,2050,2050,24-Jul-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,66.7,1950,2225,2225,14-Jun-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,67,1900,2110,1900,12-Mar-23
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,69.7,2000,2100,2050,25-Sep-22
Madhya Pradesh,Indore,Gautampura,147 Average,Cereals,1.5,1672,1672,1672,10-Aug-20
