State,Price,Month,Year
Andaman and Nicobar,3600.0,Jan,2020
Andhra Pradesh,3051.89,Jan,2020
Arunachal pradesh,3100.0,Jan,2020
Assam,2200.0,Jan,2020
Bihar,1982.11,Jan,2020
Chandigarh,2200.0,Jan,2020
Chhattisgarh,2439.86,Jan,2020
Delhi,2318.83,Jan,2020
Goa,3225.93,Jan,2020
Gujarat,2103.45,Jan,2020
Haryana,1875.96,Jan,2020
Jammu and Kashmir,2264.0,Jan,2020
Jharkhand,2688.1,Jan,2020
Karnataka,3000.0,Jan,2020
Kerala,3192.95,Jan,2020
Madhya Pradesh,2052.49,Jan,2020
Maharashtra,2878.58,Jan,2020
Meghalaya,3066.97,Jan,2020
Nagaland,5000.0,Jan,2020
Odisha,2995.97,Jan,2020
Puducherry,3675.0,Jan,2020
Punjab,2110.87,Jan,2020
Rajasthan,2213.89,Jan,2020
Sikkim,2762.5,Jan,2020
Tamil Nadu,3183.12,Jan,2020
Telangana,2748.92,Jan,2020
Uttar Pradesh,2014.69,Jan,2020
Uttarakhand,2297.95,Jan,2020
West Bengal,1882.0,Jan,2020
Andaman and Nicobar,3600.0,Feb,2020
Andhra Pradesh,3006.86,Feb,2020
Arunachal pradesh,3100.0,Feb,2020
Assam,2200.0,Feb,2020
Bihar,2015.5,Feb,2020
Chandigarh,2200.0,Feb,2020
Chhattisgarh,2420.49,Feb,2020
Delhi,2205.71,Feb,2020
Goa,3254.0,Feb,2020
Gujarat,2167.29,Feb,2020
Haryana,1887.5,Feb,2020
Jammu and Kashmir,2200.0,Feb,2020
Jharkhand,2719.57,Feb,2020
Karnataka,3000.0,Feb,2020
Kerala,3260.53,Feb,2020
Madhya Pradesh,2058.99,Feb,2020
Maharashtra,2957.14,Feb,2020
Meghalaya,3227.18,Feb,2020
Nagaland,5000.0,Feb,2020
Odisha,3030.7,Feb,2020
Puducherry,3800.0,Feb,2020
Punjab,2097.59,Feb,2020
Rajasthan,2203.03,Feb,2020
Sikkim,2800.0,Feb,2020
Tamil Nadu,3259.65,Feb,2020
Telangana,2726.19,Feb,2020
Uttar Pradesh,2023.62,Feb,2020
Uttarakhand,2280.24,Feb,2020
West Bengal,1914.28,Feb,2020
Andaman and Nicobar,3600.0,Mar,2020
Andhra Pradesh,2980.37,Mar,2020
Arunachal pradesh,3100.0,Mar,2020
Assam,2232.26,Mar,2020
Bihar,2031.75,Mar,2020
Chandigarh,2200.0,Mar,2020
Chhattisgarh,2514.84,Mar,2020
Delhi,2206.9,Mar,2020
Goa,3331.25,Mar,2020
Gujarat,2257.79,Mar,2020
Haryana,1889.75,Mar,2020
Jammu and Kashmir,2200.0,Mar,2020
Jharkhand,2707.5,Mar,2020
Karnataka,3000.0,Mar,2020
Kerala,3212.32,Mar,2020
Madhya Pradesh,2056.4,Mar,2020
Maharashtra,2897.74,Mar,2020
Meghalaya,3086.96,Mar,2020
Nagaland,5000.0,Mar,2020
Odisha,3031.27,Mar,2020
Puducherry,3778.57,Mar,2020
Punjab,2101.09,Mar,2020
Rajasthan,2164.58,Mar,2020
Sikkim,2800.0,Mar,2020
Tamil Nadu,3217.89,Mar,2020
Telangana,2686.44,Mar,2020
Uttar Pradesh,2015.86,Mar,2020
Uttarakhand,2262.41,Mar,2020
West Bengal,1909.93,Mar,2020
Andaman and Nicobar,3800.0,Apr,2020
Andhra Pradesh,3069.14,Apr,2020
Arunachal pradesh,3100.0,Apr,2020
Assam,2400.0,Apr,2020
Bihar,2039.94,Apr,2020
Chandigarh,2246.3,Apr,2020
