State,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,
Andaman and Nicobar,3600,3600,3600,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3831.03,3800,3800,3758.62,3600,3791.67,3718.52,3600,,,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,,3600,3600,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,3051.89,3006.86,2980.37,3069.14,3034.82,2986.96,2936.41,2923.93,2912.9,2806.06,2888.35,2841.61,2578.75,2400,2720.73,2681.25,2836.23,2860.53,2806.25,2791.43,2871.05,2978.38,3002.18,3010.28,3044.62,3104.62,3165.52,3173.21,3174.75,3212.45,3189.32,3241.43,3258.75,3249.44,3334.8,3376.43,3428.97,3487.02,3280.29,3273.68,3357.33,3341.73,3302.96,3305.04,3310.45,3450.74,3512.5,3513.1,3500,3500,3507.14,3521.58,3524.63,3518.94,3523.88,3511.36,3535.2,3622.41,3627.35,3664.46,3732.35,
Arunachal pradesh,3100,3100,3100,3100,,,,,,2300,2300,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,2200,2200,2232.26,2400,2354.84,2350,2350,2350,2350,2350,2350,2350,,2000,2000,2076.47,2000,2000,2000,1977.08,2000,2000,2000,2000,2000,2000,2000,2413.64,2500,2440.54,2368,2406.98,2413.33,2623.08,2683.37,2572.29,2534.85,2734.8,2708.02,2755.39,2836.98,2840,2806.74,2797.52,2790.4,2800.71,2759.28,2770.06,2765.19,2736.62,2760.87,2785.32,2819.33,2834.9,2873.03,2992.15,3001.48,3057.59,3118.07,3091.76,3183.94,
Bihar,1982.11,2015.5,2031.75,2039.94,1876.19,1891.08,1919.94,1943.93,1881.54,1805.6,1789.43,1732.55,1727.78,1746.04,1745.81,1727.78,1744.84,1723.66,1716.21,1702.63,1733.19,1758.58,1799.4,1806.28,1800.42,1823.15,1927.8,1949.08,1973.81,1992.59,2062.23,2249,2392.43,2467.02,2527.59,2592.72,2682.05,2655.57,2479.59,2274.13,2250.1,2309.79,2343.64,2365.86,2394.15,2422.1,2491.57,2516.35,2506.46,2496.49,2482.04,2442.98,2405.49,2433.68,2461.35,2501.88,2540.72,2582.4,2627.64,2665.18,2682.57,
Chandigarh,2200,2200,2200,2246.3,2250,1941.85,1909.03,1831.67,1850,1720.97,1600,1704.84,1668.97,1700,1624.14,1671.67,1740,1728.33,1900,1811.11,1700,1700,1759.09,1762.9,1801.61,1850,1850,1895,1900,1900,1958.06,1972.58,1950,1946.55,2575,2650,2650,2650,2650,2650,2650,2650,2678.33,2850,2850,2936.67,2950,2950,2950,2950,2950,2950,2950,2950,2865.03,2774.16,2762,2762,2762,2762,2762,
Chhattisgarh,2439.86,2420.49,2514.84,2658.99,2714.05,2619.92,2444.84,2460.97,2415.65,2494.79,2513.81,2553.36,2476.79,2469.18,2359.66,2204.95,2367.98,2836.62,2700,2658.75,2519.37,2512.63,2548.82,2569.18,2500.36,2517.56,2601.91,2648.14,2700,2789.14,2798.9,2762.22,2755.28,2630.06,2748.56,2769.58,2891.01,2958.36,2966.75,2936.56,2895.04,2867.69,2913.18,2979.15,3044.81,3172.38,3206.76,3194.82,3171.66,3153.44,3094.84,3106.34,3054.06,3033.71,3160.89,2986.15,3037.16,2977.91,3004.39,3009.39,3052.82,
DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,2318.83,2205.71,2206.9,2183.33,2012.9,1967.67,1962.26,1877.33,1828.83,1809.14,1864.48,1833.55,1949.83,1941.43,1909.67,1912,1888.67,1833.45,1833.23,1916,2054,2091.85,2174.67,2196.13,2217.1,2264.64,2309.66,2238.33,2280.32,2246.67,2260.33,2330,2306.67,2203.23,2386.67,2700,2648.39,2600,2564.52,2550,2525.81,2521.67,2546.77,2548.39,2518.33,2593.55,2750,2766.13,2629.03,2575.86,2600,2600,2600,2600,2600,2630.65,2695,2700,2700,2843.55,2900,
DNH and DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252.63,3400,3441.67,3500,3500,,,,4000,4000,3399.37,3290.65,3382.78,3378.49,3488.89,3621.51,3602.15,3618.39,3548.91,3535.56,3524.18,3513.48,3656.99,3578.41,3361.8,3417.39,3491.94,3583.33,3700,
