State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Ujjain,Badnagar,Local,Cereals,14,2200,2200,2200,01-May-24
Madhya Pradesh,Ujjain,Badnagar,Local,Cereals,22.5,2310,2390,2390,07-Apr-24
Madhya Pradesh,Ujjain,Badnagar,Local,Cereals,30.12,2200,2300,2300,23-May-24
Madhya Pradesh,Ujjain,Badnagar,Local,Cereals,"1,102.42",2000,2929,2400,24-Apr-24
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.1,1600,2450,1830,01-Apr-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.3,1990,2450,2261,09-Jan-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.3,2300,2600,2370,11-Jan-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.5,1815,2355,2045,02-Apr-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.5,2000,2350,2270,10-Sep-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.7,1836,2207,2032,07-Oct-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.7,1840,2535,2335,13-May-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,1.5,1926,1930,1927,22-Apr-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,7.1,2018,2300,2125,23-Aug-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,7.2,2068,2220,2140,07-Feb-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,12,2000,2226,2161,21-Jan-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,15.4,2420,2900,2710,24-Jan-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,16.6,2001,2539,2347,07-Jan-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,18.4,1801,2430,2195,18-Jan-20
